time,neem,wais,gisp2
127.5,1.1204028364651823e-06,9.52224070540357e-06,3.730468908008899e-06
128.0,1.0303704656778015e-06,9.092139497071265e-06,3.5104412512362562e-06
128.5,9.583445690478967e-07,8.682042996103254e-06,3.3104161087156718e-06
129.0,8.873190320934077e-07,8.28194884881739e-06,3.120392223321117e-06
129.5,8.202949338405798e-07,7.90185940889582e-06,2.9403695950525908e-06
130.0,7.582726339648286e-07,7.541774676338541e-06,2.7703482239100942e-06
130.5,7.012521324661542e-07,7.19169229746341e-06,2.6103281098936266e-06
131.0,6.472327099937258e-07,6.851612272270425e-06,2.450307995877159e-06
131.5,5.972147262229587e-07,6.531536954441734e-06,2.31029039611275e-06
132.0,5.51198181153853e-07,6.221463990295189e-06,2.1802740534743697e-06
132.5,5.081827151109933e-07,5.921393379830791e-06,2.05025771083599e-06
133.0,4.681683280943797e-07,5.641327476730686e-06,1.9302426253236395e-06
133.5,4.3115502010401204e-07,5.361261573630581e-06,1.820228796937318e-06
134.0,3.961424314644751e-07,5.111202731576916e-06,1.720216225677026e-06
134.5,3.641309218511842e-07,4.861143889523251e-06,1.6202036544167337e-06
135.0,3.351204912641393e-07,4.621087401151732e-06,1.5201910831564415e-06
135.5,3.0711042035250974e-07,4.401035620144507e-06,1.4301797690221786e-06
136.0,2.8210142846712624e-07,4.190986192819427e-06,1.3501697120139447e-06
136.5,2.58092796257158e-07,3.990939119176496e-06,1.270159655005711e-06
137.0,2.3708524307343584e-07,3.810896752897857e-06,1.2001508551235064e-06
137.5,2.1707804956512903e-07,3.630854386619218e-06,1.1301420552413019e-06
138.0,1.9807121573223755e-07,3.4608143740227257e-06,1.0601332553590973e-06
138.5,1.8106510125017675e-07,3.310779068790527e-06,1.000125712602922e-06
139.0,1.6505934644353131e-07,3.1607437635583274e-06,9.441186726971584e-07
139.5,1.510543109877165e-07,3.020710812008275e-06,8.891117585039977e-07
140.0,1.3704927553190174e-07,2.890680214140369e-06,8.371052214486457e-07
140.5,1.2504495942691763e-07,2.77065196995461e-06,7.880990615311026e-07
141.0,1.1304064332193356e-07,2.6506237257688506e-06,7.430934044639711e-07
141.5,1.0303704656778014e-07,2.540597835265238e-06,6.990878731094425e-07
142.0,9.343359368379287e-08,2.4305719447616253e-06,6.590828446053256e-07
142.5,8.463042854013786e-08,2.3305484079401595e-06,6.200779418138116e-07
143.0,7.65275151692736e-08,2.24052722480084e-06,5.840734161601066e-07
143.5,6.912485357120008e-08,2.1405036879793734e-06,5.500691419316072e-07
144.0,6.232240777837575e-08,2.050482504840054e-06,5.180651191283136e-07
144.5,5.6020141823259105e-08,1.9604613217007346e-06,4.88061347750226e-07
145.0,5.0418127640933194e-08,1.880442492243562e-06,4.590577020847412e-07
145.5,4.511622136123189e-08,1.800423662786389e-06,4.320543078444623e-07
146.0,4.041453088677978e-08,1.7204048333292164e-06,4.0705116502938926e-07
146.5,3.6112984282493815e-08,1.6403860038720434e-06,3.830481479269191e-07
147.0,3.2111545580832456e-08,1.5603671744148707e-06,3.6104538224965486e-07
147.5,2.8510250749337225e-08,1.4803483449576977e-06,3.3904261657239057e-07
148.0,2.5209063820466597e-08,1.4103318691826715e-06,3.190401023203321e-07
148.5,2.230802076176211e-08,1.3403153934076453e-06,3.000377137808766e-07
149.0,1.9507013670599152e-08,1.270298917632619e-06,2.830355766666269e-07
149.5,1.7106150449602335e-08,1.2002824418575926e-06,2.660334395523773e-07
150.0,1.4905359163688583e-08,1.1302659660825664e-06,2.500314281507305e-07
150.5,1.29046398128579e-08,1.0702518439896867e-06,2.3502954246168668e-07
151.0,1.1103992397110286e-08,1.0102377218968074e-06,2.2102778248524576e-07
151.5,9.483409722937433e-09,9.522240705403569e-07,2.080261482214078e-07
152.0,8.022884596831036e-09,8.982113606567653e-07,1.9502451395756982e-07
152.5,6.71241342203694e-09,8.481995922460321e-07,1.8302300540633473e-07
153.0,5.541992601800991e-09,8.001882945717285e-07,1.7202162256770259e-07
153.5,4.491614942614882e-09,7.561779383702835e-07,1.6202036544167336e-07
154.0,3.5512768477244613e-09,7.151682882734824e-07,1.5201910831564416e-07
154.5,2.7309819138838814e-09,6.7815957964954e-07,1.4301797690221784e-07
155.0,1.990715754076529e-09,6.441515771302415e-07,1.3401684548879155e-07
155.5,1.3304783683024038e-09,6.13144280715587e-07,1.2601583978796816e-07
156.0,7.692765903943974e-10,5.841374550373618e-07,1.180148340871448e-07
156.5,2.6409495430965007e-10,5.581313354637807e-07,1.1101395409892435e-07
157.0,-1.7606330287310006e-10,5.341256866266287e-07,1.040130741107039e-07
157.5,-5.471967424521916e-10,5.131207438941209e-07,9.751225697878491e-08
158.0,-8.763150756638388e-10,4.921158011616131e-07,9.141149013190707e-08
158.5,-1.1604172234817958e-09,4.7311132916553447e-07,8.571077357007042e-08
159.0,-1.3904999488273241e-09,4.5510709253767056e-07,8.031009472201464e-08
159.5,-1.5905718839103927e-09,4.3810309127802133e-07,7.520945358773974e-08
160.0,-1.750629431976847e-09,4.200988546501575e-07,7.0508862738506e-08
160.5,-1.8806761897808418e-09,4.0309485339050825e-07,6.600829703179285e-08
161.0,-1.990715754076529e-09,3.8609085213085897e-07,6.180776903886058e-08
161.5,-2.0807481248639095e-09,3.6908685087120974e-07,5.790727875970919e-08
162.0,-2.1407697053888304e-09,3.510826142433459e-07,5.4206813623078376e-08
162.5,-2.1807840924054435e-09,3.33078377615482e-07,5.070637362896815e-08
163.0,-2.210794882667904e-09,3.150741409876181e-07,4.75059713486388e-08
163.5,-2.2207984794220575e-09,2.9606966899153956e-07,4.440558163956974e-08
164.0,-2.2207984794220575e-09,2.780654323636756e-07,4.150521707302127e-08
164.5,-2.210794882667904e-09,2.590609603675971e-07,3.880487764899337e-08
165.0,-2.1807840924054435e-09,2.400564883715185e-07,3.630456336748607e-08
165.5,-2.1507733021429832e-09,2.2105201637544001e-07,3.4004274228499346e-08
166.0,-2.1207625118805234e-09,2.030477797475761e-07,3.1703985089512624e-08
166.5,-2.0807481248639095e-09,1.8604377848792688e-07,2.9703733664306785e-08
167.0,-2.0307301410931422e-09,1.700400125964923e-07,2.770348223910094e-08
167.5,-1.980712157322376e-09,1.550364820732724e-07,2.590325595641568e-08
168.0,-1.920690576797455e-09,1.4103318691826715e-07,2.4203042244990716e-08
168.5,-1.870672593026688e-09,1.2803012713147656e-07,2.2602841104826038e-08
169.0,-1.8106510125017675e-09,1.170275380811153e-07,2.1002639964661363e-08
169.5,-1.750629431976847e-09,1.0802541976718335e-07,1.9602463967017273e-08
170.0,-1.6906078514519265e-09,9.99235132846446e-08,1.8302300540633473e-08
170.5,-1.6205826741728527e-09,9.362203046489224e-08,1.710214968550997e-08
171.0,-1.5605610936479322e-09,8.872087716064039e-08,1.5901998830386462e-08
171.5,-1.5005395131230117e-09,8.522005337188909e-08,1.4901873117783537e-08
